Date,Open,High,Low,Close,Adj Close,Volume
02-11-2017,25508.40039,25598.75,25405.5,25427.30078,25427.30078,0
03-11-2017,25531.40039,25695.5,25394.94922,25650.69922,25650.69922,0
06-11-2017,25569,25694.59961,25529.5,25571.15039,25571.15039,0
07-11-2017,25669.09961,25695.75,25248.94922,25300.80078,25300.80078,0
08-11-2017,25375.80078,25435.59961,25119.5,25184.34961,25184.34961,0
09-11-2017,25281,25385.19922,25166.15039,25291.34961,25291.34961,0
10-11-2017,25250.90039,25598.55078,25237.19922,25498.94922,25498.94922,0
13-11-2017,25570.25,25611.55078,25337.25,25358.30078,25358.30078,0
14-11-2017,25352.55078,25404.80078,25223.09961,25284.59961,25284.59961,0
15-11-2017,25241.65039,25318.05078,25166.34961,25218.90039,25218.90039,0
16-11-2017,25292.90039,25496.05078,25273.69922,25446.59961,25446.59961,0
17-11-2017,25875.69922,25924.90039,25679.55078,25728.40039,25728.40039,0
20-11-2017,25733.69922,25803.15039,25681.69922,25768.59961,25768.59961,0
21-11-2017,25829.30078,25871.09961,25726.5,25757.5,25757.5,0
22-11-2017,25805.65039,25831.94922,25665.84961,25766.65039,25766.65039,0
23-11-2017,25826.30078,25838.55078,25620.94922,25736.25,25736.25,76600
24-11-2017,25776.59961,25849,25749.09961,25779.65039,25779.65039,0
27-11-2017,25693.05078,25931.84961,25673.5,25891.94922,25891.94922,0
28-11-2017,25830.44922,25953.5,25795.5,25846.40039,25846.40039,0
29-11-2017,25829.65039,25877.75,25746.80078,25795.69922,25795.69922,0
30-11-2017,25693.80078,25700.84961,25246.84961,25332.40039,25332.40039,0
01-12-2017,25409.55078,25441.34961,25152.65039,25191.94922,25191.94922,0
04-12-2017,25295.05078,25297.19922,24993.34961,25075.09961,25075.09961,0
05-12-2017,25030.75,25217.69922,24921.30078,25124.84961,25124.84961,0
06-12-2017,25066.30078,25077.44922,24813.59961,24851.80078,24851.80078,0
07-12-2017,24935.30078,25097.40039,24875.34961,25057.25,25057.25,0
08-12-2017,25145.5,25367.69922,25145.5,25321.15039,25321.15039,0
11-12-2017,25434.75,25448.84961,25318.69922,25404.84961,25404.84961,0
12-12-2017,25413.40039,25416.19922,25108.59961,25125.44922,25125.44922,0
13-12-2017,25118.19922,25270.75,24938.55078,25000.34961,25000.34961,0
14-12-2017,25062.40039,25205.90039,24888.65039,25168.19922,25168.19922,0
15-12-2017,25487.15039,25559.05078,25411.25,25440.30078,25440.30078,0
18-12-2017,25181.75,25759.90039,24617.15039,25594.55078,25594.55078,0
19-12-2017,25640.90039,25757.94922,25619.59961,25716.19922,25716.19922,0
20-12-2017,25779.05078,25780.05078,25566.05078,25591.69922,25591.69922,0
21-12-2017,25608.25,25629.94922,25508.90039,25554.30078,25554.30078,0
22-12-2017,25615.59961,25694.5,25560.5,25648.55078,25648.55078,0
26-12-2017,25659.75,25712.94922,25545.59961,25675.25,25675.25,0
27-12-2017,25652.84961,25733.19922,25429.55078,25496.05078,25496.05078,0
28-12-2017,25463.59961,25561.94922,25417.40039,25490,25490,0
29-12-2017,25484.84961,25566.40039,25450.25,25539.44922,25539.44922,0
01-01-2018,null,null,null,null,null,null
02-01-2018,25382.19922,25425.5,25232.80078,25338.25,25338.25,0
03-01-2018,25425.75,25454.90039,25300.90039,25318.59961,25318.59961,0
04-01-2018,25367.65039,25490.34961,25310.30078,25462.59961,25462.59961,0
05-01-2018,25524.44922,25643.34961,25499.55078,25601.84961,25601.84961,0
08-01-2018,25690.25,25771.5,25643.80078,25676.09961,25676.09961,0
09-01-2018,25727.94922,25803.80078,25617.25,25703.80078,25703.80078,0
10-01-2018,25709.90039,25717.59961,25527.5,25617.30078,25617.30078,0
11-01-2018,25628.19922,25694.65039,25532.25,25660.90039,25660.90039,0
12-01-2018,25732.40039,25775.15039,25557.59961,25749.05078,25749.05078,0
15-01-2018,25858.15039,26091.80078,25842.94922,26069.19922,26069.19922,0
16-01-2018,26129.15039,26136.40039,25931.69922,25974.90039,25974.90039,0
17-01-2018,25946.15039,26335.84961,25922.30078,26289.09961,26289.09961,0
18-01-2018,26762.25,26887.65039,26423.75,26537.40039,26537.40039,0
19-01-2018,26615.65039,26957.84961,26433.55078,26909.5,26909.5,0
22-01-2018,26940.5,27074.90039,26841.19922,27041.19922,27041.19922,0
23-01-2018,27089.94922,27422.05078,27066.15039,27390.59961,27390.59961,0
24-01-2018,27310.15039,27479.25,27219.44922,27398.55078,27398.55078,0
25-01-2018,27414.09961,27522.84961,27151.75,27445.65039,27445.65039,0
29-01-2018,27446.09961,27652.05078,27407.40039,27498.44922,27498.44922,0
30-01-2018,27466.84961,27470.25,27242.05078,27269.05078,27269.05078,0
31-01-2018,27136.25,27455.75,27116.94922,27379.44922,27379.44922,0
01-02-2018,27334.84961,27613.5,27046.34961,27220.69922,27220.69922,0
02-02-2018,27017.40039,27017.55078,26364.05078,26451.15039,26451.15039,0
05-02-2018,25968.15039,26215.09961,25917.55078,26098.75,26098.75,0
06-02-2018,25140.09961,26140.59961,25023.84961,25811.30078,25811.30078,0
07-02-2018,26065.40039,26078.40039,25558.05078,25670,25670,0
08-02-2018,25759.84961,26126.40039,25637.40039,25920.65039,25920.65039,0
09-02-2018,25466.30078,25598.30078,25371,25463.65039,25463.65039,0
12-02-2018,25530.09961,25757.84961,25485.40039,25701.59961,25701.59961,0
14-02-2018,25810.25,25810.25,25212.34961,25341.25,25341.25,0
15-02-2018,25360.90039,25615.15039,25295.15039,25424.34961,25424.34961,0
16-02-2018,25511.94922,25601,25100.90039,25163.90039,25163.90039,0
19-02-2018,25324.59961,25326.05078,24824.55078,25058.55078,25058.55078,265300
20-02-2018,25105.55078,25158.09961,24829,24874.40039,24874.40039,0
21-02-2018,24996.59961,24999.69922,24796.34961,24936.69922,24936.69922,0
